INSTNM,CITY,STABBR,LATITUDE,LONGITUDE,SAT_AVG,UGDS,UG,COSTT4_A,COSTT4_P,UNEMP_RATE,MN_EARN_WNE_P10
Alabama A & M University,Normal,AL,34.783368,-86.568502,827,4206,4380,21475,NULL,4.840000153,35000
University of Alabama at Birmingham,Birmingham,AL,33.50223,-86.80917,1107,11383,10331,20621,NULL,3.450000048,46300
Amridge University,Montgomery,AL,32.362609,-86.17401,NULL,291,98,16370,NULL,3.599999905,44800
University of Alabama in Huntsville,Huntsville,AL,34.722818,-86.63842,1219,5451,5220,21107,NULL,3.640000105,50400
Alabama State University,Montgomery,AL,32.364317,-86.295677,851,4811,4348,18184,NULL,4.809999943,29400
The University of Alabama,Tuscaloosa,AL,33.2144,-87.545766,1185,29851,15318,26400,NULL,3.25999999,48600
Central Alabama Community College,Alexander City,AL,32.924429,-85.94653,NULL,1592,1577,12054,NULL,3.75999999,31400
Athens State University,Athens,AL,34.805625,-86.96514,NULL,2991,2662,NULL,NULL,3.380000114,41600
Auburn University at Montgomery,Montgomery,AL,32.369939,-86.177351,1009,4304,4098,17903,NULL,3.789999962,37700
Auburn University,Auburn,AL,32.604685,-85.482782,1215,20514,18326,25282,NULL,3.140000105,52900
Birmingham Southern College,Birmingham,AL,33.515453,-86.853636,1181,1180,1395,45162,NULL,2.839999914,47100
Chattahoochee Valley Community College,Phenix City,AL,32.42391,-85.031485,NULL,1727,1748,6860,NULL,3.599999905,29800
Concordia College Alabama,Selma,AL,32.42443,-87.023531,942,322,532,17603,NULL,5.25,23700
South University-Montgomery,Montgomery,AL,32.342684,-86.216488,NULL,522,207,27870,NULL,3.680000067,34100
Enterprise State Community College,Enterprise,AL,31.297496,-85.836956,NULL,1729,1590,8676,NULL,3.859999895,29800
James H Faulkner State Community College,Bay Minette,AL,30.852045,-87.779758,NULL,4286,2775,11194,NULL,3.440000057,31800
Faulkner University,Montgomery,AL,32.384181,-86.21641,NULL,2367,612,30116,NULL,3.920000076,42800
Gadsden State Community College,Gadsden,AL,33.991866,-85.991299,NULL,4917,4787,10243,NULL,3.460000038,29200
New Beginning College of Cosmetology,Albertville,AL,34.27871,-86.196931,NULL,115,NULL,NULL,12994,NULL,NULL
George C Wallace State Community College-Dothan,Dothan,AL,31.316086,-85.46355,NULL,4293,3612,8735,NULL,3.519999981,31400
George C Wallace State Community College-Hanceville,Hanceville,AL,34.07341,-86.781745,NULL,4920,4696,11703,NULL,2.900000095,30800
George C Wallace State Community College-Selma,Selma,AL,32.445611,-87.01324,NULL,1513,1445,13756,NULL,5.139999866,28900
Herzing University-Birmingham,Birmingham,AL,33.468105,-86.832299,NULL,302,534,26200,NULL,4.489999771,45100
Huntingdon College,Montgomery,AL,32.350939,-86.285313,1026,1149,657,32370,NULL,3.289999962,40800
Heritage Christian University,Florence,AL,34.859089,-87.662062,NULL,62,95,18631,NULL,3.220000029,PrivacySuppressed
J F Drake State Community and Technical College,Huntsville,AL,34.772116,-86.573817,NULL,974,543,14779,NULL,4.329999924,26300
Jacksonville State University,Jacksonville,AL,33.822128,-85.766644,1041,7060,6491,20830,NULL,3.559999943,36700
Jefferson Davis Community College,Brewton,AL,31.101995,-87.085829,NULL,1033,1129,9496,NULL,3.829999924,29500
Jefferson State Community College,Birmingham,AL,33.652439,-86.707387,NULL,7443,5652,13418,NULL,3.150000095,32400
John C Calhoun State Community College,Tanner,AL,34.65428,-86.949131,NULL,9380,7719,10052,NULL,3.690000057,31400
Judson College,Marion,AL,32.630526,-87.316127,NULL,376,321,28840,NULL,3.970000029,34400
Lawson State Community College-Birmingham Campus,Birmingham,AL,33.451673,-86.890234,NULL,2905,1673,12597,NULL,5.309999943,26800
University of West Alabama,Livingston,AL,32.59244,-88.186077,990,1916,1595,17839,NULL,4.320000172,37300
Lurleen B Wallace Community College,Andalusia,AL,31.322947,-86.452262,NULL,1393,802,13423,NULL,4.5,30300
Marion Military Institute,Marion,AL,32.622359,-87.317998,1055,433,175,16520,NULL,3.579999924,48200
Miles College,Fairfield,AL,33.481306,-86.908605,NULL,1778,1502,22436,NULL,5.25,28100
University of Mobile,Mobile,AL,30.793247,-88.128934,1014,1460,1764,31220,NULL,3.940000057,38000
University of Montevallo,Montevallo,AL,33.10625,-86.865099,1070,2644,2557,22440,NULL,2.950000048,36300
Northwest-Shoals Community College,Muscle Shoals,AL,34.739567,-87.67733,NULL,3304,3826,11000,NULL,3.339999914,29700
University of North Alabama,Florence,AL,34.80658,-87.680999,1029,5485,4944,15494,NULL,3.390000105,39600
Northeast Alabama Community College,Rainsville,AL,34.545471,-85.911664,NULL,2225,1659,8145,NULL,3.279999971,30800
Oakwood University,Huntsville,AL,34.756628,-86.661628,928,1878,1767,36064,NULL,4.25,38800
Alabama Southern Community College,Monroeville,AL,31.488925,-87.326352,NULL,1180,1261,10708,NULL,4.820000172,27800
Prince Institute-Southeast,Elmhurst,IL,41.928952,-87.962922,NULL,84,94,27183,NULL,3.359999895,PrivacySuppressed
Reid State Technical College,Evergreen,AL,31.46071,-86.964486,NULL,425,706,9158,NULL,4.710000038,24500
Bishop State Community College,Mobile,AL,30.693972,-88.056982,NULL,2927,4058,9955,NULL,5.159999847,26500
Samford University,Birmingham,AL,33.464578,-86.790932,1165,3033,2870,40900,NULL,2.680000067,57000
Selma University,Selma,AL,32.420358,-87.033826,NULL,472,472,12621,NULL,NULL,NULL
Shelton State Community College,Tuscaloosa,AL,33.120531,-87.56148,NULL,4755,5330,13426,NULL,4.019999981,28300
Snead State Community College,Boaz,AL,34.201247,-86.169479,NULL,2098,1579,10376,NULL,3.460000038,29600
University of South Alabama,Mobile,AL,30.695081,-88.18189,1048,11267,9232,18525,NULL,3.900000095,44100
Spring Hill College,Mobile,AL,30.694751,-88.138199,1116,1215,1227,44970,NULL,3.569999933,49400
Southeastern Bible College,Birmingham,AL,33.378935,-86.749045,930,170,52,17066,NULL,3.039999962,36500
Stillman College,Tuscaloosa,AL,33.199228,-87.585242,811,1056,1530,26185,NULL,4.809999943,27900
Talladega College,Talladega,AL,33.434258,-86.113675,NULL,819,475,20918,NULL,5.199999809,26400
H Councill Trenholm State Community College,Montgomery,AL,32.350109,-86.343057,NULL,1230,663,9912,NULL,4.349999905,27400
Troy University,Troy,AL,31.800128,-85.950191,1050,15025,3810,17354,NULL,3.849999905,38800
Tuskegee University,Tuskegee,AL,32.431021,-85.710315,978,2588,2467,32853,NULL,4.849999905,41600
United States Sports Academy,Daphne,AL,30.639329,-87.91163,NULL,90,90,NULL,NULL,3.549999952,PrivacySuppressed
Bevill State Community College,Jasper,AL,33.835785,-87.265034,NULL,3210,3558,13084,NULL,3.829999924,29800
University of Alaska Anchorage,Anchorage,AK,61.189554,-149.826135,NULL,12865,14161,13610,NULL,5.21999979,46600
Alaska Bible College,Palmer,AK,61.59843,-149.111341,NULL,27,27,15990,NULL,NULL,NULL
University of Alaska Fairbanks,Fairbanks,AK,64.856483,-147.822943,NULL,5536,6359,15340,NULL,6.559999943,41500
University of Alaska Southeast,Juneau,AK,58.38427,-134.636346,NULL,1428,3353,15284,NULL,5.21999979,39200
Alaska Pacific University,Anchorage,AK,61.191235,-149.804242,1054,275,479,42640,NULL,4.71999979,50400
AVTEC-Alaska's Institute of Technology,Seward,AK,60.110727,-149.444573,NULL,889,210,NULL,NULL,8.420000076,42100
Charter College-Anchorage,Anchorage,AK,61.195786,-149.840178,NULL,3256,486,30854,NULL,4.920000076,43700
Alaska Career College,Anchorage,AK,61.181443,-149.856954,NULL,479,429,NULL,19659,5.53000021,30600
Everest College-Phoenix,Phoenix,AZ,33.580985,-112.113845,NULL,4102,154,26404,NULL,3.670000076,29900
Collins College,Phoenix,AZ,33.40334,-111.98646,NULL,83,5833,NULL,NULL,3.829999924,30400
Empire Beauty School-Paradise Valley,Phoenix,AZ,33.602593,-111.976357,NULL,25,70,NULL,16188,3.039999962,23400
Empire Beauty School-Tucson,Tucson,AZ,32.235657,-110.927187,NULL,126,124,NULL,17260,3.25999999,22100
Thunderbird School of Global Management,Glendale,AZ,33.620887,-112.180861,NULL,1,1,NULL,NULL,3.289999962,161500
American Indian College Inc,Phoenix,AZ,33.577738,-112.092247,NULL,89,76,23387,NULL,8.369999886,PrivacySuppressed
American Institute of Technology,Phoenix,AZ,33.442262,-112.175304,NULL,266,147,NULL,18599,3.980000019,32400
Carrington College-Phoenix,Phoenix,AZ,33.560821,-112.115546,NULL,617,263,NULL,23008,3.980000019,27000
Carrington College-Mesa,Mesa,AZ,33.39207,-111.855281,NULL,718,250,NULL,23974,NULL,27000
Carrington College-Tucson,Tucson,AZ,32.224,-110.982961,NULL,424,250,NULL,22449,NULL,27000
CollegeAmerica-Flagstaff,Flagstaff,AZ,35.194607,-111.65739,NULL,176,22,28692,NULL,6.809999943,25500
Arizona Academy of Beauty-East,Tucson,AZ,32.237253,-110.872305,NULL,32,29,NULL,22175,3.369999886,19600
Arizona Automotive Institute,Glendale,AZ,33.537249,-112.157344,NULL,628,277,NULL,33284,4.960000038,34500
Brookline College-Phoenix,Phoenix,AZ,33.525384,-112.15007,NULL,1357,230,NULL,31715,3.980000019,23600
Arizona State University-Tempe,Tempe,AZ,33.422247,-111.934629,1145,39316,33985,22312,NULL,3.150000095,52100
Arizona Western College,Yuma,AZ,32.689306,-114.495968,NULL,7218,5214,14247,NULL,7.920000076,30400
University of Arizona,Tucson,AZ,32.232071,-110.950769,NULL,32646,26404,24617,NULL,3.269999981,53200
