INSTNM,CITY,STABBR,ZIP,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LATITUDE,LONGITUDE,CCBASIC,CCUGPROF,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,UGDS,UG,NPT4_PUB,NPT4_PRIV,NPT4_PROG,NPT4_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,TUITFTE,PFTFTUG1_EF,AGE_ENTRY,UNEMP_RATE,COUNT_NWNE_P10,COUNT_WNE_P10,MN_EARN_WNE_P10,MD_EARN_WNE_P10,COUNT_NWNE_P6,COUNT_WNE_P6,MN_EARN_WNE_P6,MD_EARN_WNE_P6,COUNT_WNE_INC1_P6,COUNT_WNE_INC2_P6,COUNT_WNE_INC3_P6,COUNT_WNE_INDEP0_INC1_P6,COUNT_WNE_INDEP0_P6,COUNT_NWNE_P7,COUNT_WNE_P7,MN_EARN_WNE_P7,SD_EARN_WNE_P7,COUNT_NWNE_P8,COUNT_WNE_P8,MN_EARN_WNE_P8,MD_EARN_WNE_P8,COUNT_NWNE_P9,COUNT_WNE_P9,MN_EARN_WNE_P9,SD_EARN_WNE_P9,ICLEVEL
George C Wallace State Community College-Dothan,Dothan,AL,36303-9234,1,2,2,1,1,5,31.316086,-85.46355,7,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4293,3612,3115,NULL,NULL,NULL,8735,NULL,3960,7350,NULL,1928,0.4557,24.87796124,3.519999981,432,1590,31400,26600,185,1051,24300,20700,843,206,PrivacySuppressed,356,455,355,1537,26700,22800,301,1305,26300,22400,411,1687,30700,23500,2
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,1,2,2,1,1,5,34.07341,-86.781745,7,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4920,4696,7817,NULL,NULL,NULL,11703,NULL,4260,7650,NULL,2551,0.5265,24.57629074,2.900000095,447,1794,30800,28800,378,1880,28800,25500,1048,581,251,420,911,420,1864,29300,20500,471,2026,31300,28500,386,1424,30100,20500,2
George C Wallace State Community College-Selma,Selma,AL,36703-2808,1,2,2,1,1,5,32.445611,-87.01324,9,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1513,1445,7207,NULL,NULL,NULL,13756,NULL,3960,7350,NULL,1184,0.5575,23.45975345,5.139999866,206,817,28900,24200,196,677,23400,20100,564,111,PrivacySuppressed,319,392,212,827,24400,19900,245,766,25300,21100,204,758,27300,20100,2
Herzing University-Birmingham,Birmingham,AL,35209,11,1,4,3,1,5,33.468105,-86.832299,23,5,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,302,534,NULL,22103,NULL,NULL,26200,NULL,12790,12790,NULL,11395,0.1915,31.37463057,4.489999771,41,418,45100,42300,282,1388,31300,28600,589,533,266,55,356,55,465,37800,23100,159,750,37300,34100,49,414,41700,24600,1
Huntingdon College,Montgomery,AL,36106-2148,1,3,3,2,1,5,32.350939,-86.285313,22,9,7,0.5839,510,490,NULL,22,22,21,NULL,1026,1149,657,NULL,19040,NULL,NULL,32370,NULL,24550,24550,NULL,10131,0.6021,24.19005848,3.289999962,30,245,40800,36500,27,305,31200,29900,81,103,121,31,207,37,276,36400,24900,34,309,36300,34700,20,221,37700,27000,1
Heritage Christian University,Florence,AL,35630-9977,1,3,4,2,1,5,34.859089,-87.662062,24,5,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62,95,NULL,10369,NULL,NULL,18631,NULL,9792,9792,NULL,10966,0.25,29.09375,3.220000029,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,9,26,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,11,50,45800,92800,1
J F Drake State Community and Technical College,Huntsville,AL,35811,1,2,2,1,1,5,34.772116,-86.573817,9,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,974,543,10048,NULL,NULL,NULL,14779,NULL,3384,6096,NULL,1292,0.2365,28.77587844,4.329999924,132,437,26300,22300,103,364,21300,18300,315,48,PrivacySuppressed,65,82,109,478,23000,16800,106,426,23600,20900,84,322,26400,20000,2
Jacksonville State University,Jacksonville,AL,36265,1,3,4,1,1,5,33.822128,-85.766644,18,13,13,0.8326,495,485,NULL,23,24,21,NULL,1041,7060,6491,17974,NULL,NULL,NULL,20830,NULL,7092,13884,NULL,6447,0.503,23.13948919,3.559999943,374,2397,36700,34600,253,1988,29200,26000,856,603,529,425,1410,281,2192,32000,21100,299,2211,33200,31300,342,2237,35800,23200,1
Jefferson Davis Community College,Brewton,AL,36426,1,2,2,1,1,5,31.101995,-87.085829,4,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1033,1129,3888,NULL,NULL,NULL,9496,NULL,3968,7358,NULL,1178,0.5536,24.84626234,3.829999924,157,605,29500,25400,85,357,26500,22700,271,83,PrivacySuppressed,142,168,160,620,26600,18500,141,558,26100,21800,123,503,30700,23200,2
Jefferson State Community College,Birmingham,AL,35215-3098,1,2,2,1,1,5,33.652439,-86.707387,5,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7443,5652,9207,NULL,NULL,NULL,13418,NULL,4320,7710,NULL,2708,0.3271,24.7702089,3.150000095,425,1744,32400,29400,283,1618,28500,26600,878,505,235,361,783,354,1815,29100,20000,387,1883,30300,27000,324,1461,32100,22200,2
John C Calhoun State Community College,Tanner,AL,35671,1,2,2,1,1,5,34.65428,-86.949131,5,1,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9380,7719,5686,NULL,NULL,NULL,10052,NULL,4260,7650,NULL,3170,0.3468,24.83206673,3.690000057,657,2631,31400,27400,440,2265,27100,23700,1333,635,297,404,1038,529,2552,28300,20700,564,2409,28900,25400,528,2328,30800,22900,2
Judson College,Marion,AL,36756,1,3,3,2,1,5,32.630526,-87.316127,21,9,7,0.6525,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,376,321,NULL,11592,NULL,NULL,28840,NULL,16258,16258,NULL,8101,0.5359,25.6056338,3.970000029,34,135,34400,29300,PrivacySuppressed,92,22100,21200,42,32,PrivacySuppressed,28,76,27,111,25300,17900,35,120,25500,24000,30,131,32000,21100,1
Lawson State Community College-Birmingham Campus,Birmingham,AL,35221-1717,1,2,2,1,1,5,33.451673,-86.890234,5,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2905,1673,7387,NULL,NULL,NULL,12597,NULL,4290,7710,NULL,1374,0.5004,24.95577299,5.309999943,442,1720,26800,23800,326,1444,22500,19600,1176,267,PrivacySuppressed,521,703,509,2021,24200,18100,385,1487,24100,20500,251,979,25600,18900,2
University of West Alabama,Livingston,AL,35470,1,3,4,1,1,5,32.59244,-88.186077,18,13,13,0.7199,NULL,NULL,NULL,21,21,20,NULL,990,1916,1595,13092,NULL,NULL,NULL,17839,NULL,8018,14886,NULL,7928,0.6063,22.35918004,4.320000172,82,643,37300,33900,78,604,29800,26500,337,145,122,188,423,68,584,33300,20600,57,638,35700,33100,73,595,35700,22300,1
Lurleen B Wallace Community College,Andalusia,AL,36420-1418,1,2,2,1,1,5,31.322947,-86.452262,7,3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1393,802,7748,NULL,NULL,NULL,13423,NULL,4230,7620,NULL,1684,0.5984,23.37368421,4.5,175,684,30300,25200,126,584,23700,20600,436,147,PrivacySuppressed,186,285,190,891,26300,20100,166,641,28800,24400,65,344,31600,21400,2
Marion Military Institute,Marion,AL,36756-3207,1,2,2,1,1,5,32.622359,-87.317998,1,4,1,0.6139,550,558,NULL,22,22,21,NULL,1055,433,175,10679,NULL,NULL,NULL,16520,NULL,8778,14778,NULL,3286,0.9298,19.77339902,3.579999924,PrivacySuppressed,100,48200,44500,PrivacySuppressed,130,34400,31200,47,44,39,36,119,8,78,33500,21700,PrivacySuppressed,93,39900,38900,10,86,48300,29600,2
Miles College,Fairfield,AL,35064-2621,1,3,3,2,1,5,33.481306,-86.908605,22,11,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1778,1502,NULL,16694,NULL,NULL,22436,NULL,11604,11604,NULL,5202,0.763,21.10958904,5.25,155,852,28100,25700,107,771,21700,19900,497,203,71,356,581,129,755,23100,16400,150,794,24500,21700,125,696,27600,18000,1
University of Mobile,Mobile,AL,36613-2842,1,3,4,2,1,5,30.793247,-88.128934,22,13,10,0.5847,470,465,NULL,22,23,20,NULL,1014,1460,1764,NULL,19017,NULL,NULL,31220,NULL,19475,19475,NULL,9947,0.6618,23.41598916,3.940000057,102,753,38000,35000,43,467,32100,29600,170,137,160,69,272,71,631,36300,24800,72,611,35800,31500,82,724,40100,29300,1
University of Montevallo,Montevallo,AL,35115-6000,1,3,4,1,1,5,33.10625,-86.865099,19,13,10,0.743,548,528,533,23,25,21,NULL,1070,2644,2557,16877,NULL,NULL,NULL,22440,NULL,10660,21220,NULL,7568,0.7201,21.61096375,2.950000048,114,769,36300,34900,77,578,26600,26700,198,157,223,104,441,87,712,30700,19900,98,712,30800,29900,93,686,35600,22000,1
Northwest-Shoals Community College,Muscle Shoals,AL,35661,1,2,2,1,1,5,34.739567,-87.67733,7,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3304,3826,6513,NULL,NULL,NULL,11000,NULL,4231,7621,NULL,1624,0.4734,23.46933011,3.339999914,527,2020,29700,25200,271,1316,23700,20400,826,372,118,442,744,446,1742,25800,19000,395,1627,27100,23500,427,1713,29300,21200,2
University of North Alabama,Florence,AL,35632-0001,1,3,4,1,1,5,34.80658,-87.680999,18,13,12,0.6788,506,484,NULL,22,23,21,NULL,1029,5485,4944,11294,NULL,NULL,NULL,15494,NULL,7412,13268,NULL,6702,0.5049,22.1977692,3.390000105,216,1430,39600,36100,128,1284,30100,27200,490,406,388,274,966,187,1314,33700,23100,195,1402,35900,33000,174,1356,37300,25900,1
Northeast Alabama Community College,Rainsville,AL,35986,1,2,2,1,1,5,34.545471,-85.911664,7,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2225,1659,3049,NULL,NULL,NULL,8145,NULL,4260,7650,NULL,1845,0.4899,23.5531386,3.279999971,222,836,30800,28300,180,994,24800,21500,637,292,65,214,433,191,896,27100,18800,219,892,28300,25200,170,700,30600,21600,2
Oakwood University,Huntsville,AL,35896,1,3,4,2,1,5,34.756628,-86.661628,22,10,11,0.4787,476,450,NULL,20,20,19,NULL,928,1878,1767,NULL,24992,NULL,NULL,36064,NULL,16720,16720,NULL,11693,0.8238,22.04146342,4.25,76,472,38800,33900,61,345,26900,22300,145,123,77,87,266,61,398,29400,22200,73,448,32000,25400,62,444,35900,26500,1
Alabama Southern Community College,Monroeville,AL,36460,1,2,2,1,1,5,31.488925,-87.326352,4,3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1180,1261,4703,NULL,NULL,NULL,10708,NULL,4260,7650,NULL,1528,0.6014,22.24173749,4.820000172,172,590,27800,22400,110,503,22900,18900,408,93,PrivacySuppressed,257,290,163,598,24200,19900,159,586,27600,22000,164,605,26400,20200,2
Prince Institute-Southeast,Elmhurst,IL,60126,3,2,2,3,17,3,41.928952,-87.962922,10,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,94,NULL,21801,NULL,NULL,27183,NULL,9685,9685,NULL,24156,0.7547,33.83035714,3.359999895,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,11,40,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,16,52,29100,17600,2
